,Current(A),Voltage(V),dV/dt(V/s),Temperature (C)_1
9587,0.319313079,3.4425685410000004,0.019512653,41.62407684
9588,0.198408961,3.4225635530000003,-0.009171533,41.59388733
9589,0.198228508,3.4237945080000003,-0.004739666,41.65426636
9590,0.282500476,3.440106392,-0.000677109,41.62407684
9591,0.333929837,3.450262785,0.005416727,41.59388733
9592,0.301809043,3.445954084,0.004308796,41.62407684
9593,0.322561234,3.450570583,0.002031279,41.58050919
9594,0.266440094,3.441645384,-0.0018466,41.6676445
9595,0.310651273,3.450878382,0.00086174,41.65426636
9596,0.280515492,3.446261883,-0.000984859,41.5335083
9597,0.297297686,3.450570583,0.0016619679999999998,41.59388733
9598,0.246409699,3.442260742,-0.0017850879999999996,41.62407684
9599,0.283041835,3.449647427,0.0005539890000000001,41.65426636
9600,0.39492324,3.4702680110000004,0.003939486,41.65426636
9601,0.486954749,3.487503052,0.008986902,41.65426636
9602,0.353960216,3.465651512,0.003139305,41.59388733
9603,0.134528294,3.427180052,-0.008740711,41.62407684
9604,0.132001936,3.426564455,-0.012433958,41.65426636
9605,0.16159637300000002,3.432719946,-0.006586313000000001,41.65426636
9606,0.698266268,3.528128862,0.020128202,41.62407684
9607,0.604791105,3.51366353,0.017358255,41.58050919
9608,0.400336862,3.479193211,0.009233093,41.68445587
9609,0.292605907,3.460419178,-0.013788128,41.7146492
9610,0.224574775,3.448724031,-0.01311102,41.69783401
9611,0.124783777,3.431488752,-0.009479379,41.62407684
9612,0.042316351,3.417023659,-0.008740664,41.61070251
9613,0.008210564,3.410868168,-0.007632732,41.65426636
9614,0.003518763,3.409945011,-0.004308748,41.61070251
9615,-0.000270769,3.4090216160000004,-0.001538849,41.61070251
9616,-0.0004512230000000001,3.4090216160000004,-0.00036931,41.64089584
9617,-0.000270769,3.4090216160000004,-0.00012311899999999998,41.68445587
9618,-0.0004512230000000001,3.4090216160000004,6.15597e-05,41.65426636
9619,-0.000631677,3.408406019,-0.00012311899999999998,41.62407684
9620,-0.000270769,3.4090216160000004,0.0,41.58050919
9621,-0.000631677,3.408406019,-0.00012311899999999998,41.55031586
9622,-0.0004512230000000001,3.4087138180000003,-6.15597e-05,41.67108536
9623,-0.114678539,3.388093233,-0.0041856770000000005,41.7146492
9624,-0.898028851,3.249288559,-0.03188505,41.56713104
9625,-1.669108391,3.109560728,-0.059830617,41.67108536
9626,-2.2599143980000003,3.000302076,-0.077619791,41.7146492
9627,-2.87526226,2.885811329,-0.072387695,41.68445587
9628,-2.635799885,2.922128439,-0.037055589,41.68445587
9629,-2.779260635,2.892274618,-0.021174621,41.61070251
9630,-2.846750498,2.875347137,-0.001538849,41.70127487
9631,-1.759696245,3.064318419,0.028807353,41.77502823
9632,-1.281854272,3.147724152,0.051520776,41.7448349
9633,-1.1111448999999998,3.177270174,0.060630798,41.7448349
9634,-1.369554877,3.130796909,0.013357257,41.7448349
9635,-0.8853971359999999,3.215126038,0.013541889,41.7448349
