,Current(A),Voltage(V),dV/dt(V/s),Temperature (C)_1
9370,0.483292103,3.4388830660000003,0.040503263,31.95241356
9371,0.353876501,3.422263384,0.033916902,32.05720901
9372,0.319503397,3.41887784,0.017173911,32.13156891
9373,0.198728025,3.401950121,-0.007694387,32.13156891
9374,0.198352367,3.403181076,-0.004001093,32.13156891
9375,0.283064187,3.417338848,-0.00043087,32.02677917
9376,0.333966404,3.426572084,0.004801273,32.05720901
9377,0.301847279,3.423186541,0.003939533,32.02677917
9378,0.322696537,3.4271876810000004,0.0017850879999999996,32.02677917
9379,0.266910702,3.420108795,-0.0014157770000000002,32.07071304
9380,0.310863167,3.4278032780000003,0.000800228,32.02677917
9381,0.280810207,3.424417734,-0.000677109,32.02677917
9382,0.297527164,3.4278032780000003,0.0014773370000000002,32.02677917
9383,0.246437117,3.42103219,-0.0014773370000000002,32.13156891
9384,0.283815503,3.4278032780000003,0.0005539890000000001,32.10113907
9385,0.395011514,3.445654154,0.003447056,32.05720901
9386,0.486860901,3.461043119,0.007940626,32.02677917
9387,0.354440004,3.44226861,0.002831507,32.10113907
9388,0.135428965,3.409336805,-0.007386589,31.96591568
9389,0.132047996,3.409029007,-0.010587454,32.05720901
9390,0.161537483,3.413953304,-0.00578618,31.95241356
9391,0.6987343429999999,3.497360468,0.017604733,32.10113907
9392,0.6048188210000001,3.4850494860000003,0.015204096,31.87804222
9393,0.399895102,3.45488739,0.008125258,32.17549515
9394,0.292643577,3.439190865,-0.0118186,31.95241356
9395,0.224648714,3.4290342330000003,-0.01132617,31.95241356
9396,0.124910422,3.4142611030000003,-0.008248377,32.02677917
9397,0.043016072,3.401642323,-0.007632828,32.13156891
9398,0.008642986,3.396717787,-0.006524849,31.99634933
9399,0.003571548,3.395486832,-0.003754854,32.02677917
9400,2.75712e-06,3.394871235,-0.0014157770000000002,31.96591568
9401,0.000190588,3.395179033,-0.000246191,31.99634933
9402,0.000190588,3.395179033,-6.15597e-05,32.13156891
9403,0.000378419,3.394871235,0.0,32.07071304
9404,0.000190588,3.395179033,0.0,32.10113907
9405,0.000190588,3.395486832,0.000184679,31.92198181
9406,0.000190588,3.395179033,0.0,31.93548393
9407,0.000190588,3.394871235,-6.15597e-05,31.92198181
9408,-0.11382287,3.377635717,-0.0034471040000000003,31.98284721
9409,-0.898205459,3.255756617,-0.027884483,31.99634933
9410,-1.6683127880000002,3.133569717,-0.052321862,31.96591568
9411,-2.259417295,3.037851334,-0.067895316,32.10113907
9412,-2.875315189,2.937208652,-0.063524917,31.93548393
9413,-2.635455132,2.967986345,-0.032808878,32.07071304
9414,-2.778957844,2.941517591,-0.018835878,31.90505219
9415,-2.8467650410000003,2.926128864,-0.0016619679999999998,32.10113907
9416,-1.759786606,3.089557648,0.029054021,32.07071304
9417,-1.281005144,3.162192822,0.044565916,32.00985336
9418,-1.111205816,3.18773818,0.052691221,31.89154625
9419,-1.369473577,3.147111893,-0.002769947,31.97942352
9420,-0.884869397,3.220670223,0.0065864090000000005,31.97942352
9421,-1.211507678,3.170502663,0.004431963,31.89154625
9422,-0.85406512,3.224363565,0.000800228,31.97942352
9423,-0.633739293,3.257910967,0.007448149,32.0402832
9424,-0.640689015,3.25729537,0.00670948,32.0402832
9425,-0.968454242,3.206512451,-0.010218143,32.00985336
9426,-0.343352437,3.302230835,0.008987093,32.11463928
9427,-0.343540281,3.302846193,0.019082069,31.93548393
9428,-0.988176525,3.203742504,-0.019512987,32.05378723
9429,-1.7659850119999998,3.082171202,-0.044073485,31.96591568
9430,-0.8805493120000001,3.216669083,0.002339077,31.96591568
9431,-1.413613915,3.133877516,0.009848833,32.08421326
9432,-0.660411298,3.248985529,0.0065864090000000005,32.11463928
9433,-1.46207428,3.125259638,-0.002031326,31.90505219
9434,-0.688961625,3.2431378360000003,-0.001046419,32.08421326
9435,-0.694596529,3.242214441,0.023083162,31.97942352
9436,-0.7009828090000001,3.241291046,-0.00024623900000000004,32.11463928
9437,0.085841559,3.362862587,0.024129629,31.94899368
9438,0.25000590100000003,3.389639139,0.02960806,32.02335739
9439,-0.23328343,3.316388369,-0.008925485,32.05378723
9440,-0.14537850000000002,3.329930544,-0.01169548,32.0402832
9441,0.007891661999999999,3.354244947,0.0075097559999999985,31.94899368
9442,-0.560109496,3.267452002,-0.012495709,31.94899368
9443,0.114391878,3.37086463,0.003447056,31.97942352
9444,-0.717324078,3.243445635,-0.004985952,32.02335739
9445,-0.05221428,3.345319271,-0.00492444,31.91856384
9446,-0.296958178,3.3083863260000004,0.012741948,32.00985336
9447,-0.129976347,3.333931684,-0.002154398,32.00985336
9448,-0.541702032,3.271145344,-0.007448196,31.91856384
9449,-0.544519544,3.269914389,-0.012741899,31.97942352
9450,-0.214312494,3.320389509,0.009787274,32.08421326
9451,-0.129412845,3.334239483,0.012803507,32.08421326
9452,-0.29094758600000004,3.309925079,-0.002092886,31.94899368
9453,-0.29019624,3.3096172810000004,-0.004801321,32.05378723
9454,0.165669769,3.3800981039999995,0.014096165,31.86111259
9455,0.039635114,3.361631393,0.010402823,32.08421326
9456,-0.670929849,3.252371073,-0.025360728,32.00985336
9457,0.478220671,3.4290342330000003,0.013480568,32.08421326
9458,-2.340560198,2.994762897,-0.051767875,32.02335739
9459,-1.176383257,3.170502663,-0.051337004000000006,32.02335739
