,Test_Time(s),Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Temperature (C)_1
1,8.065273792000001,-1.099184632,2.468466282,0.0,0.001528987,0.0,0.0038308170000000002,-0.007017279,1.256173849
2,13.07254414,-1.099372506,2.403833389,0.0,0.003058049,0.0,0.007555851,-0.006709528,1.332008719
3,18.07782617,-1.099372506,2.333968401,0.0,0.004586512,0.0,0.011177808000000001,-0.007448149,1.256173849
4,23.07808717,-1.099372506,2.250561237,0.0,0.006113414,0.0,0.014680505,-0.009294796,1.301033378
5,28.08240103,-1.09956038,2.134221792,0.0,0.007641574,0.0,0.018036859,-0.013788367,1.4527032380000002
6,31.76451946,-1.099372506,1.999416113,0.0,0.008765985,0.0,0.020366863,-0.020497847,1.345893025
31,156.77542519999997,1.0997537370000001,3.065243483,0.0015299139999999998,0.008765985,0.0046359290000000004,0.020366863,0.005601549,1.163251758
32,161.7798211,1.0997537370000001,3.102484226,0.003059009,0.008765985,0.009353279,0.020366863,0.003631735,1.163251758
33,166.7849661,1.100129366,3.1317229269999998,0.004588391,0.008765985,0.014121588999999999,0.020366863,0.0028930659999999997,1.194225192
34,171.78723159999998,1.0997537370000001,3.155729532,0.006116886,0.008765985,0.01892739,0.020366863,0.002400637,1.194225192
35,176.7874737,1.0999414920000001,3.1769659519999998,0.0076446990000000005,0.008765985,0.023765526000000002,0.020366863,0.002092838,1.194225192
36,181.79475019999998,1.100129366,3.195740223,0.009174678,0.008765985,0.028640699999999998,0.020366863,0.001908207,1.163251758
37,186.8029656,1.100129366,3.212360144,0.010704975,0.008765985,0.033544019,0.020366863,0.0017235279999999998,1.194225192
38,191.8071698,1.0999414920000001,3.227749109,0.012234041000000001,0.008765985,0.038467955,0.020366863,0.001600456,1.194225192
39,196.81045769999997,1.100129366,3.2422144410000002,0.013762793999999998,0.008765985,0.043413293,0.020366863,0.001538849,1.194225192
40,201.8106486,1.100129366,3.254833221,0.015290642,0.008765985,0.048376419000000004,0.020366863,0.001354218,1.194225192
41,206.8169789,1.0999414920000001,3.267144203,0.016820382,0.008765985,0.053364964,0.020366863,0.0012926580000000001,1.194225192
42,211.82421150000002,1.100129366,3.2785320280000003,0.018350394,0.008765985,0.058372392,0.020366863,0.0012310980000000001,1.194225192
43,216.83381469999998,1.100129366,3.288996458,0.01988112,0.008765985,0.06339905400000001,0.020366863,0.001046467,1.194225192
44,221.83980930000004,1.100129366,3.299460649,0.021410771000000002,0.008765985,0.068438116,0.020366863,0.001107979,1.194225192
45,226.84207680000003,1.100129366,3.3086941239999996,0.02293928,0.008765985,0.073488438,0.020366863,0.0009233469999999999,1.194225192
46,231.8512068,1.100129366,3.317927361,0.024469836000000002,0.008765985,0.078559452,0.020366863,0.000984907,1.301033378
47,236.85641800000002,1.100129366,3.326852798,0.02599921,0.008765985,0.08364015400000001,0.020366863,0.000984859,1.118393183
48,241.8617551,1.100129366,3.33485508,0.027528612999999997,0.008765985,0.08873391800000001,0.020366863,0.000861788,1.270059466
49,246.8689708,1.100129366,3.3425493239999997,0.029058592999999997,0.008765985,0.09384197400000001,0.020366863,0.000800228,1.194225192
50,251.87720389999998,1.0999414920000001,3.3499360080000002,0.03058885,0.008765985,0.09896273400000001,0.020366863,0.0009233469999999999,1.194225192
51,256.8814674,1.0999414920000001,3.357322693,0.032117928999999996,0.008765985,0.104091036,0.020366863,0.000677109,1.163251758
52,261.88473569999996,1.100129366,3.36440134,0.033646691,0.008765985,0.10922917,0.020366863,0.00080018,1.194225192
53,266.884952,1.100129366,3.371172428,0.035174531,0.008765985,0.114374777,0.020366863,0.000738668,1.194225192
54,271.8893432,1.0999414920000001,3.377635717,0.036703661,0.008765985,0.11953489199999999,0.020366863,0.000677109,1.132279992
55,276.89270899999997,1.0999414920000001,3.3840990069999997,0.038232487,0.008765985,0.124703825,0.020366863,0.0006155490000000001,1.163251758
56,281.89370519999994,1.100129366,3.390254498,0.039760586,0.008765985,0.129879787,0.020366863,0.000677109,1.177142978
57,286.899952,1.0999414920000001,3.3964099880000003,0.04129026,0.008765985,0.135070316,0.020366863,0.0006770610000000001,1.163251758
58,291.9073313,1.100129366,3.401950121,0.042820292,0.008765985,0.140270996,0.020366863,0.0006155490000000001,1.132279992
59,296.9164625,1.100129366,3.407182217,0.044350876,0.008765985,0.14548224199999998,0.020366863,0.0005539890000000001,1.163251758
60,301.9207101,1.0999414920000001,3.4130299089999996,0.04587994,0.008765985,0.150696737,0.020366863,0.0006155490000000001,1.163251758
