,Test_Time(s),Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Temperature (C)_1
1,8.010374938,-1.0997763870000001,2.801174402,0.0,0.0015283039999999999,0.0,0.0042999940000000006,-0.0024621960000000003,9.247450829
2,13.01651966,-1.0997763870000001,2.781477213,0.0,0.0030575520000000003,0.0,0.008568375999999999,-0.002031279,9.340260506
3,18.025753299999998,-1.0997763870000001,2.7620875839999997,0.0,0.0045877570000000005,0.0,0.012809562,-0.001969719,9.27838707
4,23.03420317,-1.0997763870000001,2.7439291480000003,0.0,0.006117714000000001,0.0,0.017021592,-0.001969719,9.27838707
5,28.04030362,-1.0997763870000001,2.725770712,0.0,0.007647048,0.0,0.021203992,-0.0018465999999999997,9.27838707
6,33.04256873,-1.099956751,2.707304478,0.0,0.009175209,0.0,0.025355497,-0.001969719,9.247450829
7,38.04688528,-1.099956751,2.689145803,0.0,0.010704016,0.0,0.029480982000000003,-0.002277517,9.309323311
8,43.04817874,-1.099956751,2.670987368,0.0,0.012231913999999998,0.0,0.03357609,-0.001908207,9.371198654
9,48.05238135,-1.0997763870000001,2.652213335,0.0,0.013760709,0.0,0.037645248,-0.002031326,9.385090828
10,53.05471189,-1.099956751,2.632823944,0.0,0.015288939,0.0,0.041683631,-0.002154398,9.309323311
11,58.05673948,-1.0997763870000001,2.61251092,0.0,0.016817076,0.0,0.045691523,-0.002154398,9.40213871
12,63.06307245,-1.0997763870000001,2.591582537,0.0,0.018346522,0.0,0.049671296,-0.002215958,9.371198654
13,68.07244121,-1.0997763870000001,2.5691154,0.0,0.019876915,0.0,0.053620232000000004,-0.002400589,9.385090828
14,73.07557324,-1.0997763870000001,2.545109272,0.0,0.021405402999999996,0.0,0.05752886,-0.002585268,9.385090828
15,78.0797231,-1.0997763870000001,2.5189487930000003,0.0,0.022934186000000002,0.0,0.061400182000000005,-0.002831459,9.508840561
16,83.08200091,-1.099956751,2.490633726,0.0,0.024462387000000002,0.0,0.06522841900000001,-0.003077698,9.553663254
17,88.08736994,-1.0997763870000001,2.4583177569999997,0.0,0.025991537999999998,0.0,0.069012897,-0.0035086159999999996,9.522726059
18,93.08930783,-1.0997763870000001,2.422000885,0.0,0.027516408,0.0,0.072734675,-0.004001045,9.660356522
19,98.09394775,-1.0997763870000001,2.377989769,0.0,0.029048584,0.0,0.076412967,-0.004801226,9.46085453
20,103.1011184,-1.0997763870000001,2.322898865,0.0,0.030578292000000003,0.0,0.08001045,-0.006093836,9.811862946
21,108.1102712,-1.099956751,2.246263742,0.0,0.032108585,0.0,0.083510472,-0.008802271,9.629421234
22,113.11851740000002,-1.0997763870000001,2.111152411,0.0,0.033638537999999996,0.0,0.086856955,-0.016681194,9.691295624
23,115.29979840000001,-1.099595904,1.998816252,0.0,0.034304897,0.0,0.08822940800000001,-0.025975848,9.797982216
48,240.31067830000003,1.099776149,2.945211172,0.0015271979999999998,0.034304897,0.004445558,0.08822940800000001,0.006401634000000001,9.674241066
49,245.31599190000003,1.099595666,2.990453482,0.0030559809999999997,0.034304897,0.008984333,0.08822940800000001,0.004431915,9.736110687
50,250.3201961,1.099595666,3.026462555,0.004584411,0.034304897,0.01358329,0.08822940800000001,0.003631687,9.887612342999999
51,255.3264355,1.099595666,3.056624174,0.00611347,0.034304897,0.018234563,0.08822940800000001,0.0030161859999999997,9.811862946
52,260.3286941,1.099776149,3.083400249,0.007641338,0.034304897,0.022925491,0.08822940800000001,0.002769947,9.736110687
53,265.33090830000003,1.099415302,3.1064829830000003,0.009169179,0.034304897,0.027654573,0.08822940800000001,0.002339077,9.660356522
54,270.3331862,1.099776149,3.128334761,0.010697065,0.034304897,0.032418114,0.08822940800000001,0.002215958,9.598484993
55,275.3354355,1.099415302,3.147724152,0.012224924,0.034304897,0.037212656000000004,0.08822940800000001,0.001969719,9.691295624
56,280.3458159,1.099595666,3.165575027,0.01375525,0.034304897,0.042043492,0.08822940800000001,0.001846647,9.553663254
57,285.3469708,1.099415302,3.1818869110000003,0.015282753,0.034304897,0.04689153099999999,0.08822940800000001,0.0017235279999999998,9.598484993
58,290.35518199999996,1.099595666,3.1972754,0.016812425,0.034304897,0.051770607999999996,0.08822940800000001,0.001600409,9.598484993
59,295.3574332,1.099776149,3.211125135,0.018340282,0.034304897,0.056666255,0.08822940800000001,0.0014157770000000002,9.522726059
60,300.36168389999995,1.099595666,3.2243592739999998,0.019868735,0.034304897,0.061584692999999996,0.08822940800000001,0.001354218,9.629421234
61,305.3709287,1.099595666,3.2369778160000005,0.021398723999999997,0.034304897,0.06652764900000001,0.08822940800000001,0.0014157770000000002,9.660356522
62,310.37118439999995,1.099595666,3.2489807610000003,0.022925946000000003,0.034304897,0.071480055,0.08822940800000001,0.00129261,9.660356522
63,315.37243739999997,1.099595666,3.259444952,0.024453483999999998,0.034304897,0.076450772,0.08822940800000001,0.0011695380000000001,9.660356522
64,320.3798186,1.099595666,3.269909143,0.025982929,0.034304897,0.081444171,0.08822940800000001,0.001107979,9.598484993
65,325.38393039999994,1.099595666,3.280373335,0.027511359,0.034304897,0.086449846,0.08822940800000001,0.001107979,9.416027069
66,330.38529889999995,1.099595666,3.289298773,0.029038953,0.034304897,0.091467584,0.08822940800000001,0.000984859,9.660356522
67,335.39441400000004,1.099415302,3.2982242110000004,0.030568900000000003,0.034304897,0.096507169,0.08822940800000001,0.000861788,9.615539551
68,340.39671069999997,1.099415302,3.30714941,0.032096783,0.034304897,0.101553451,0.08822940800000001,0.0009232999999999998,9.646475792
69,345.3969909,1.099415302,3.314843655,0.033624039,0.034304897,0.10661024300000001,0.08822940800000001,0.00080018,9.477903366
70,350.4042216,1.099595666,3.323153496,0.035153415,0.034304897,0.111686425,0.08822940800000001,0.0009232999999999998,9.40213871
71,355.40947819999997,1.099595666,3.3305399419999997,0.036682169,0.034304897,0.116772364,0.08822940800000001,0.0007386210000000001,9.464018822
72,360.41772139999995,1.099415302,3.337618828,0.038211836,0.034304897,0.12187281300000001,0.08822940800000001,0.000677109,9.477903366
73,365.4258891,1.099415302,3.3450052739999996,0.039741471,0.034304897,0.12698411099999998,0.08822940800000001,0.000738668,9.508840561
74,370.4331586,1.099595666,3.351776123,0.04127085,0.034304897,0.132105204,0.08822940800000001,0.0006770610000000001,9.49495697
75,375.43548760000004,1.099595666,3.358239412,0.042798734000000005,0.034304897,0.137231576,0.08822940800000001,0.0006155490000000001,9.53978157
76,380.4418645,1.099595666,3.3647027019999998,0.04432784,0.034304897,0.142371944,0.08822940800000001,0.0006155490000000001,9.433077812
77,385.4499028,1.099595666,3.370857954,0.045857467,0.034304897,0.147523626,0.08822940800000001,0.0006770610000000001,9.53978157
78,390.4551375,1.099415302,3.377013445,0.047386252000000004,0.034304897,0.152681806,0.08822940800000001,0.0006155490000000001,9.446964264
79,395.4564568,1.099234819,3.3825533389999998,0.048913843,0.034304897,0.157844912,0.08822940800000001,0.0005539890000000001,9.491789817999999
80,400.45977200000004,1.099415302,3.388093233,0.050442034000000004,0.034304897,0.16301874800000002,0.08822940800000001,0.00049243,9.536615372
81,405.4659734,1.099595666,3.3939409260000004,0.051971098,0.034304897,0.16820405,0.08822940800000001,0.0006155490000000001,9.522726059
