,Current(A),Voltage(V),dV/dt(V/s),Temperature (C)_1
17237,0.000190588,3.4010267260000004,6.15597e-05,27.41630936
17238,0.000378419,3.4010267260000004,6.15597e-05,27.37217903
17239,0.000190588,3.401334524,0.00012311899999999998,27.41630936
17240,0.000190588,3.4010267260000004,0.0,27.44686699
17241,0.000190588,3.401334524,6.15597e-05,27.41630936
17242,0.000190588,3.401334524,6.15597e-05,27.4909935
17243,0.000190588,3.4010267260000004,0.0,27.44686699
17244,0.000190588,3.4010267260000004,0.0,27.38574982
17245,0.000190588,3.401334524,0.0,27.35519218
17246,0.000190588,3.401334524,0.0,27.52154922
17247,0.000378419,3.401642323,0.00012311899999999998,27.41630936
17248,0.000190588,3.401334524,-6.15597e-05,27.41630936
17249,0.000190588,3.401642323,0.0,27.44686699
17250,0.000190588,3.401642323,6.15597e-05,27.34161949
17251,2.75712e-06,3.401642323,0.0,27.41630936
17252,0.000190588,3.401642323,0.0,27.4909935
17253,-1.013345838,3.240983486,-0.032131769,27.38574982
17254,-1.39332819,3.177889347,-0.044750594000000005,27.38574982
17255,-1.768802404,3.1138720510000004,-0.057492495,27.34161949
17256,-2.197432995,3.0415446760000004,-0.039579965,27.41630936
17257,-2.757733107,2.947673082,-0.045612384000000006,27.2804985
17258,-3.2205488680000003,2.868267059,-0.048690081,27.31105804
17259,-2.816524267,2.925513268,-0.022713851,27.41630936
17260,-2.719227791,2.935977697,-0.001846647,27.41630936
17261,-2.153856039,3.020616055,0.031023789,27.46043587
17262,-1.173753619,3.17327261,0.049982738,27.41630936
17263,0.26334193300000003,3.399487972,0.093132973,27.38574982
17264,0.18050842,3.389639139,0.073989294,27.38574982
17265,0.073069043,3.374250174,0.040195514,27.37217903
17266,-0.715633631,3.2514476780000003,-0.027392054,27.41630936
17267,-0.594482601,3.269298792,-0.020928716,27.52154922
17268,-0.599366188,3.268375397,-0.021359634,27.44686699
17269,-0.8771683570000001,3.224055767,-0.009048605,27.38574982
17270,-2.071022749,3.03446579,-0.046905041,27.2804985
17271,0.268225521,3.399795532,0.034901761,27.26692009
17272,1.354828238,3.573996782,0.107229091,27.31105804
17273,0.5894166829999999,3.4576575760000003,0.012618828,27.38574982
17274,1.55486834,3.611853123,0.008617735,27.31105804
17275,0.672250152,3.477047443,-0.019759178,27.41630936
17276,0.102558523,3.388100147,-0.014034557,27.38574982
17277,-0.984607697,3.216669083,-0.052506544,27.41630936
17278,-0.6527101989999999,3.266221046,-0.024622058,27.31105804
17279,-1.510346889,3.129876375,-0.018097211,27.41630936
17280,-2.577415228,2.958445311,-0.051398516,27.38574982
17281,-2.972236156,2.8907346730000003,-0.048382331,27.38574982
17282,-3.849219322,2.747003317,-0.043211699000000006,27.4909935
17283,-3.849219322,2.7405400280000003,-0.030777598,27.38574982
17284,-3.849219322,2.735000134,-0.0033855440000000003,27.41630936
17285,-3.849219322,2.730383396,-0.002708435,27.38574982
17286,-2.43635416,2.9489042760000004,0.04222684,27.46043587
17287,-3.849219322,2.7251513,-0.001600409,27.41630936
17288,-2.904241323,2.869805813,-0.015696573999999998,27.37217903
17289,-3.849219322,2.718688011,-0.002031326,27.34161949
17290,-3.688248158,2.7405400280000003,-0.025853157,27.41630936
17291,-3.849219322,2.711916924,-0.002092886,27.38574982
17292,-2.8116405010000003,2.8728835580000003,0.026160907,27.35519218
17293,-2.645222187,2.898121119,0.03680997,27.38574982
17294,-2.4945816990000003,2.92089653,0.009664154,27.38574982
17295,-1.013345838,3.153575182,0.051029254,27.31105804
